"","TransactionID","ClassDesc","DeptDesc","Brand","Units"
"39972",-1127623976,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"40466",-1127654394,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"40489",-1127588956,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"40575",-1127609225,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"40966",-1127609317,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"41024",-1127630648,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"41197",-1127588776,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"41566",-1127579251,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"42576",-1127583100,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"42825",-1127586810,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"43564",-1127677579,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"43734",-1127676901,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"44279",-1127653503,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"44310",-1127583457,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"45478",-1127648878,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"46758",-1127623914,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"47758",-1127624865,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"47815",-1127656466,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"47900",-1127630898,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"48580",-1127586864,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"48815",-1127654473,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"49679",-1127630603,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"49978",-1127630903,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"51759",-1127676717,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"51872",-1127594217,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"54107",-1127582801,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"54374",-1127676998,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"54659",-1123985182,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",3
"54824",-1127681446,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"55009",-1127681468,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"55380",-1127692167,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"55793",-1127719563,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"55846",-1127653393,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"56235",-1123985849,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"56370",-1123985998,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"56388",-1123997367,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"56762",-1123994203,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"57425",-1123994912,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"57635",-1123997052,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"57777",-1123986049,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"58100",-1123985769,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"58292",-1123985342,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"58327",-1123986276,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"58351",-1123994369,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"59258",-1123994782,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"59365",-1124011537,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"60465",-1123994405,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"60805",-1124012376,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"60932",-1123985119,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"61274",-1123994135,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"61549",-1124011598,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"61571",-1123994799,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"63747",-1124011576,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
